Ref,Val,Package,PosX,PosY,Rot,Side
C1,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,140,-89.8175,90,top
C2,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.5,-89.8175,90,top
C3,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.236,-117.856,90,top
C4,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,146,-89.8175,90,top
C5,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,147.5,-89.8175,90,top
C6,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,148.4,-99,0,top
C7,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,146,-106.135,-90,top
C8,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,133.7,-99.1,180,top
C9,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134,-94.5675,180,top
C10,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,138.5,-89.8175,90,top
C11,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,137,-89.8175,90,top
C12,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149,-89.8175,90,top
C13,27p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.5,-106.135,-90,top
C14,27p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,136,-106.135,-90,top
C15,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.77,-115.05,0,top
C16,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.7325,-122.8,0,top
C17,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.7325,-125.05,0,top
C18,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.396,-117.856,90,top
C19,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.825,-97.155,180,top
C20,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.5,-84.75,0,top
C21,680p,C_0603_1608Metric,149.25,-95.5,0,top
C22,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,137.1,-80.7,135,top
D1,Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,127,-67.5,0,top
D2,Red LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.5,-70,22.5,top
D3,Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,103,-77.5,45,top
D4,Red LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.5,-88.5,67.5,top
D5,Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,93,-101.5,90,top
D6,Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,102.75,-125.25,135,top
D7,Red LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.5,-114.5,112.5,top
D8,Red LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,113.75,-133,157.5,top
D9,Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,127,-135.5,180,top
D10,Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,151,-125.75,-135,top
D11,Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,161,-101.75,-90,top
D12,Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,151,-77.5,-45,top
D13,Red LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,140,-133,-157.5,top
D14,Red LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,158.25,-114.75,-112.5,top
D15,Red LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,158.25,-88.5,-67.5,top
D16,Red LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.75,-70,-22.5,top
D17,Red LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,127,-102.8,0,top
D18,Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,124.8,-91.7,0,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,127,-53.675,180,top
J2,Conn_01x03,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,148.4,-113.2,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,128.27,-120.904,0,top
J5,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,143.02,-118.76,0,top
L1,L_Small,L_Sunlord_SWPA3015S,135.77,-114.3,180,top
R1,27.4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,141.5,-89.8175,-90,top
R2,27.4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143,-89.8175,-90,top
R3,120k,R_0402_1005Metric,138.52,-119.3,-90,top
R4,12k,R_0402_1005Metric,138.02,-121.05,180,top
R5,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127,-69.75,0,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.25,-83.75,90,top
R7,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.316,-72.136,22.5,top
R8,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139,-78.9,45,top
R9,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,104.648,-79.248,45,top
R10,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.79,-89.408,67.5,top
R11,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.25,-101.5,90,top
R12,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,104.394,-123.698,135,top
R13,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.5,-113.5,112.5,top
R14,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.75,-130.81,157.5,top
R15,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127,-133.35,180,top
R16,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.352,-124.206,-135,top
R17,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.75,-101.75,-90,top
R18,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.352,-78.994,-45,top
R19,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.192,-130.81,-157.5,top
R20,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.21,-113.792,-112.5,top
R21,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.21,-89.408,-67.5,top
R22,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.684,-72.136,-22.5,top
R23,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127,-104.902001,180,top
R24,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.9,-91.7,180,top
SW1,PTS815,PTS815 Series,129.709999,-63.845001,90,top
SW2,PTS815,PTS815 Series,122.089999,-63.845001,90,top
SW3,PTS815,PTS815 Series,109.09865,-130.058319,-123.75,top
SW4,PTS815,PTS815 Series,146.349583,-129.090066,-56.25,top
